"px_epsg28992","py_epsg28992","lon","lat","logzinc","dist","ffreq2","ffreq3"
181072,333611,5.75853624135808,50.9915621567178,6.92951677076365,0.00135803,0,0
181025,333558,5.75786301788305,50.9910879029232,7.03966034986208,0.0122243,0,0
181165,333537,5.75985541751295,50.9908927433765,6.46146817635372,0.103029,0,0
181298,333484,5.76174576970541,50.9904102356329,5.54907608489522,0.190094,0,0
181307,333330,5.76186270738117,50.9890255709571,5.59471137960184,0.27709,0,0
181390,333260,5.76303964098292,50.9883925366489,5.63835466933375,0.364067,0,0
181165,333370,5.75984329282049,50.9893916407069,5.84643877505772,0.190094,0,0
181027,333363,5.75787741953428,50.9893350268931,6.00635315960173,0.0921516,0,0
181060,333231,5.75833785372193,50.9881470213434,5.84932477994686,0.184614,0,0
181232,333168,5.76078279077936,50.9875728618997,5.20948615284142,0.309702,0,0
181191,333115,5.76019504905426,50.9870983459807,5.24174701505964,0.315116,0,0
181032,333031,5.75792464948194,50.9863505704254,5.52545293913178,0.228123,0,0
180874,333339,5.75569670406275,50.9891262526795,6.99942246750796,0,0,0
180969,333252,5.75704339827961,50.9883399284191,6.22257626807137,0.113932,0,0
181011,333161,5.75763497281676,50.9875200505676,5.78689738136671,0.168336,0,0
180830,333246,5.75506340331458,50.9882923009324,6.93925394604151,0,0,0
180763,333104,5.75409907538523,50.9870189402934,6.40687998606931,0.0122243,0,0
180694,332972,5.7531070321817,50.9858355480134,6.56667242980324,0.0122243,0,0
180625,332847,5.75211553749502,50.9847150677111,6.59987049921284,0,0,0
180555,332707,5.7511087876558,50.9834597939485,6.95844839329766,0,0,0
180642,332708,5.75234773643936,50.9834648830742,6.51174532964473,0.0703468,0,0
180704,332717,5.7532312564973,50.9835429938166,5.99645208861902,0.0975136,0,0
180704,332664,5.75322747760397,50.9830665956949,5.83773044716594,0.113932,0,0
181153,332925,5.75964010225301,50.9853922461842,5.38449506278909,0.342321,0,0
181147,332823,5.75954726041956,50.9844756797724,5.29831736654804,0.385804,0,0
181167,332778,5.75982879953081,50.9840702750243,5.26785815906333,0.429289,0,0
181008,332777,5.75756454288456,50.9840685492958,5.33271879326537,0.315116,0,0
180973,332687,5.75705965324643,50.9832611644444,5.19295685089021,0.320574,0,0
180916,332753,5.75625272322606,50.983857004134,5.48063892334199,0.249863,0,0
181352,332946,5.76247550814581,50.9855718596777,5.19295685089021,0.489064,0,0
181133,332570,5.75932955670694,50.9822021949462,5.33753807970132,0.472778,0,0
180878,332489,5.75569264984007,50.9814857258188,5.28826703069454,0.287957,0,0
180829,332450,5.75499212724445,50.9811373867951,5.52146091786225,0.271622,0,0
180954,332399,5.75676836243297,50.980673299633,5.25749537202778,0.385807,0,0
180956,332318,5.7567910096397,50.9799451288486,5.36129216570943,0.418417,0,0
180710,332330,5.75328909906964,50.9800641186473,5.77144112313002,0.244474,0,0
180632,332445,5.75218663828695,50.9811013184432,6.34388043412633,0.135709,0,0
180530,332538,5.75074082050022,50.9819418309139,6.72503364216684,0.0484965,0,0
180478,332578,5.75000319287152,50.9823036988139,6.80903930604298,0,0,0
180383,332476,5.74864324761722,50.9813910868018,7.28207365809346,0.00135803,0,0
180494,332330,5.75021349066651,50.9800738005995,5.6970934865054,0.135709,0,0
180561,332193,5.75115778709919,50.9788393617366,5.11799381241676,0.26622,0,0
180451,332175,5.74959027599575,50.9786824780721,5.17048399503815,0.211843,0,0
